"","X100m","Long.jump","Shot.put","High.jump","X400m","X110m.hurdle","Discus","Pole.vault","Javeline","X1500m"
"SEBRLE",0.134271732260742,0.735296629075967,0.24860895760413,0.647572691494434,0.374307571467584,0.322590252799006,-0.424058474787524,0.895502999404185,0.826591853981922,1.38063089381521
"CLAY",-0.795523919093214,0.160932847118515,-0.426186784464221,-1.52449404455982,-0.062600458895966,-1.00011964168606,1.67152765632184,0.494791540526827,0.209977083573131,2.35950605806279
"BERNARD",0.0678577571640319,-0.381521835841302,-0.438025306254893,-0.903903548544321,-0.499508489259509,0.942610515838881,-1.28995346152999,2.09763737603626,0.741401655438603,0.221962332052769
"YURKOV",1.13048135871141,-0.828249221808211,0.674795742068351,0.957867939502188,0.980020977198862,1.60396546308141,0.330593058797054,-0.306631377227892,0.877300305495803,-0.147612985061118
"ZSIVOCZKY",0.433134620195948,-0.158158142857849,-1.3495914841367,0.0269821954789315,-0.807330056106555,-0.752111536470109,0.153204849707453,-1.50876575385997,-0.75956850937227,-0.98664884013047
"McMULLEN",-0.563075006254723,-0.126249043860214,-1.01811287399786,1.26816318750994,0.473604851095657,-0.318097352342195,-0.225624206992377,-1.50876575385997,-0.556734703316747,0.721388436260718
"MARTINEAU",2.12669098516208,-1.72170399374203,-0.0591926089533628,-0.593608300536569,0.701988594240242,0.818606463230905,0.733474754017508,0.494791540526827,-1.37618327978106,-1.57597164309585
"HERNU",1.23010232135648,0.671478431080693,-0.248608957604128,-1.52449404455982,1.6552424786698,1.08728191054819,-0.0512425777178508,0.0940800816494694,-0.390410982351218,0.721388436260718
"BARRAS",1.09727437116306,-1.21115840977985,-0.627441654905658,-0.593608300536569,0.0466265486949198,-0.111423931328904,-0.920144144275394,-0.306631377227892,-0.753483495190604,0.411744251651787
"NOOL",1.09727437116306,-0.253885439850759,-2.29667322739053,-0.283313052528818,-0.231405834263694,1.56263077887875,-2.176894506978,-0.707342836105249,-0.339702530837337,-1.12648814930869
"BOURGUIGNON",1.19689533380812,-1.75361309273966,-1.37326852771804,-1.52449404455982,1.71482084644664,2.34798977872926,-1.40420349450295,0.895502999404185,-0.899523835550581,1.38063089381521
"Sebrle",-0.496661031158014,1.56493320301451,2.05990279157707,1.16473143817402,-1.06550298313956,-1.00011964168606,1.07021169330624,0.815360707628714,2.31336365236891,0.212972662177023
"Clay",-1.85814752064059,1.94784239098615,0.722149829231043,0.54414094215852,-0.241335562226507,-0.834780904875424,1.48812628760209,0.414649248751357,2.14906826946393,0.411744251651787
"Karpov",-1.65890559535046,1.4692059060216,1.55084635457814,0.854436190166269,-2.60461081737477,-1.16545837849669,1.9511395791241,-0.787485127880723,-0.725086762342831,0.0231907425780043
"Macey",-0.363833080964588,0.384296540101967,1.31407591876468,1.47502668618177,-0.459789577408279,0.0539148054817288,0.955961660333281,-1.58890804563544,-0.132812048660703,-1.24435270990177
"Warners",-1.26042174477019,1.24584221303815,-0.165739305069418,-0.386744801864735,-1.45276237368906,-1.08278901009138,-0.430071634417681,0.414649248751357,-0.755511833251159,0.0171976293275087
"Zsivoczky",-0.297419105867878,-0.66870372682003,0.816858003556426,1.16473143817402,-0.0328112750075414,0.859941147433563,0.138171950632062,-0.386773669003362,0.879328643556359,-0.83282560003442
"Hernu",-0.0981771805777427,-0.509158231831847,0.0355155653720198,0.233845694150766,-0.698103048515669,-0.586772799659476,-0.132420232724958,0.0139377898739957,-0.274795712899569,-1.35122989620227
"Bernard",-1.0279728319317,0.416205639099606,0.213093392232112,1.16473143817402,-0.300913930003349,-0.752111536470109,-0.123400493279724,-1.58890804563544,-0.779851889977821,-0.156602654936858
"Schwarzl",-0.0649701930293878,0.448114738097241,-0.722149829231041,-0.697040049872486,0.324658931653541,-0.586772799659476,-0.82092701037782,1.21607216650607,-0.566876393619522,-0.43128701225123
"Pogorelov",-0.164591155674458,-0.126249043860214,0.568249045952296,0.54414094215852,1.34742091182275,-0.66944216806479,-0.168499190505893,0.815360707628714,-1.14900941699887,0.974098044989937
"Schoenbeck",-0.330626093416233,-0.158158142857849,0.177577826860093,-1.31763054588799,0.860864241645164,-0.400766720747514,-0.225624206992377,0.815360707628714,0.360074100054219,0.094109249375531
"Barras",0.466341607744303,-1.14734021178457,0.343317131929513,-0.697040049872486,-0.0228815470447355,-0.338764694443528,-0.0993478547591,-0.787485127880723,1.10244583021743,-1.07754439109632
